 , PHY101 , S+
VM14225:14  , CV101 , S
VM14225:14  , HSS103 , S
VM14225:14  , PHYL101 , S+
VM14225:14  , CSL101 , S+
VM14225:14  , MAT201 , S
VM14225:14  , CHY201 , S+
VM14225:14  , EC201 , S
VM14225:14  , HSS202 , S+
VM14225:14  , CHYL201 , S
VM14225:14  , IS33 , S
VM14225:14  , IS32 , S
VM14225:14  , IS36 , S
VM14225:14  , ISL37 , S+
VM14225:14  , IS46 , S
VM14225:14  , IS43 , A
VM14225:14  , IS45 , S
VM14225:14  , ISL47 , S+
 , CV101 , S
VM14282:6  , HSS103 , S
VM14282:6  , MAT101 , A
VM14282:6  , ME102 , A
VM14282:6  , HSS204 , Pass
VM14282:6  , ME201 , S
VM14282:6  , HSS201 , S+
VM14282:6  , AL201 , S+
VM14282:6  , MEL203 , S
VM14282:6  , IS33 , S
VM14282:6  , IS34 , S+
VM14282:6  , IS35 , S+
VM14282:6  , ISL38 , S+
VM14282:6  , IS43 , A
VM14282:6  , IS45 , S
VM14282:6  , IS42 , S
VM14282:6  , ISL48 , S+
VM14282:14  , PHY101 , S
VM14282:14  , EE101 , A
VM14282:14  , CS101 , S
VM14282:14  , PHYL101 , S+
VM14282:14  , CSL101 , S+
VM14282:14  , MAT201 , S
VM14282:14  , CHY201 , S+
VM14282:14  , EC201 , A
VM14282:14  , HSS202 , S
VM14282:14  , CHYL201 , S
VM14282:14  , IS32 , S
VM14282:14  , IS31 , S+
VM14282:14  , IS36 , S+
VM14282:14  , ISL37 , S+
VM14282:14  , IS41 , S+
VM14282:14  , IS44 , S
VM14282:14  , IS46 , S+
VM14282:14  , ISL47 , S+
 , PHY101 , C
VM14339:6  , EE101 , C
VM14339:6  , CS101 , D
VM14339:6  , ME102 , B
VM14339:6  , MAT201 , F
VM14339:6  , HSS204 , Pass
VM14339:6  , EC201 , B
VM14339:6  , MEL203 , A
VM14339:6  , CHYL201 , A
VM14339:6  , IS33 , F
VM14339:6  , IS34 , C
VM14339:6  , IS35 , F
VM14339:6  , ISL38 , B
VM14339:6  , IS42 , B
VM14339:6  , IS43 , B
VM14339:6  , IS45 , C
VM14339:6  , ISL48 , A
VM14339:6  , IS46 , B
VM14339:6  , ISL47 , B
VM14339:14  , MAT101 , C
VM14339:14  , CV101 , C
VM14339:14  , HSS103 , A
VM14339:14  , PHYL101 , S
VM14339:14  , CSL101 , A
VM14339:14  , HSS202 , B
VM14339:14  , ME201 , A
VM14339:14  , CHY201 , A
VM14339:14  , HSS201 , A
VM14339:14  , AL201 , S
VM14339:14  , MAT201 , C
VM14339:14  , IS32 , C
VM14339:14  , IS31 , C
VM14339:14  , IS36 , S
VM14339:14  , ISL37 , C
VM14339:14  , IS46 , F
VM14339:14  , IS41 , C
VM14339:14  , IS44 , B
VM14339:14  , ISL47 , F
VM14339:14  , IS33 , A
VM14339:14  , IS35 , B
 , PHY101 , S
VM14453:6  , EE101 , B
VM14453:6  , CS101 , S
VM14453:6  , ME102 , S+
VM14453:6  , HSS204 , Pass
VM14453:6  , EC201 , S
VM14453:6  , HSS202 , S+
VM14453:6  , CHYL201 , S
VM14453:6  , AL201 , S+
VM14453:6  , IS34 , S
